Code,Description
14843,"San Juan, PR: Luis Munoz Marin International"
14869,"Salt Lake City, UT: Salt Lake City International"
14877,"Salina, KS: Salina Regional"
14893,"Sacramento, CA: Sacramento International"
14905,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
14908,"Santa Ana, CA: John Wayne Airport-Orange County"
14952,"Springfield, IL: Abraham Lincoln Capital"
14955,"Saipan, TT: Francisco C. Ada Saipan International"
14960,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
14986,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
15008,"St. Cloud, MN: St. Cloud Regional"
15016,"St. Louis, MO: St Louis Lambert International"
15023,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
15024,"Charlotte Amalie, VI: Cyril E King"
15027,"Christiansted, VI: Henry E. Rohlsen"
15041,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
15048,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
15070,"Newburgh/Poughkeepsie, NY: New York Stewart International"
15074,"Stillwater, OK: Stillwater Regional"
15096,"Syracuse, NY: Syracuse Hancock International"
15249,"Tallahassee, FL: Tallahassee International"
15295,"Toledo, OH: Eugene F Kranz Toledo Express"
15304,"Tampa, FL: Tampa International"
15323,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
15356,"Trenton, NJ: Trenton Mercer"
15370,"Tulsa, OK: Tulsa International"
15376,"Tucson, AZ: Tucson International"
15380,"Traverse City, MI: Cherry Capital"
15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
15401,"Texarkana, AR: Texarkana Regional-Webb Field"
15411,"Tyler, TX: Tyler Pounds Regional"
15412,"Knoxville, TN: McGhee Tyson"
15454,"Quincy, IL: Quincy Regional-Baldwin Field"
15569,"Victoria, TX: Victoria Regional"
15582,"Vernal, UT: Vernal Regional"
15607,"Valdosta, GA: Valdosta Regional"
15624,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
15841,"Wrangell, AK: Wrangell Airport"
15897,"West Yellowstone, MT: Yellowstone"
15919,"Fayetteville, AR: Northwest Arkansas National"
15991,"Yakutat, AK: Yakutat Airport"
16101,"Yakima, WA: Yakima Air Terminal/McAllister Field"
16218,"Yuma, AZ: Yuma MCAS/Yuma International"
16869,"Williston, ND: Williston Basin International"
